City,District,Region,State,Zip
"Aaronsburg, PA",District #06,East,PA,16820
"Abbeville, AL",District #09,East,AL,36310
"Abbeville, GA",District #12,East,GA,31001
"Abbeville, LA",District #24,Central,LA,70510
"Abbeville, LA",District #24,Central,LA,70511
"Abbeville, MS",District #25,Central,MS,38601
"Abbeville, SC",District #11,East,SC,29620
"Abbotsford, WI",District #26,Central,WI,54405
"Abbott, TX",District #23,Central,TX,76621
"Abbottstown, PA",District #05,East,PA,17301
"Abbyville, KS",District #21,Central,KS,67510
"Abell, MD",District #07,East,MD,20606
"Abercrombie, ND",District #32,Central,ND,58001
"Aberdeen Proving Ground, MD",District #05,East,MD,21005
"Aberdeen, ID",District #33,West,ID,83210
"Aberdeen, KY",District #19,East,KY,42201
"Aberdeen, MD",District #05,East,MD,21001
"Aberdeen, MS",District #19,East,MS,39730
"Aberdeen, NC",District #08,East,NC,28315
"Aberdeen, OH",District #16,East,OH,45101
"Aberdeen, SD",District #32,Central,SD,57401
"Aberdeen, SD",District #32,Central,SD,57402
"Aberdeen, WA",District #34,West,WA,98520
"Abernant, AL",District #19,East,AL,35440
"Abernathy, TX",District #22,Central,TX,79311
"Abie, NE",District #30,Central,NE,68001
"Abilene, KS",District #30,Central,KS,67410
"Abilene, TX",District #22,Central,TX,79601
"Abilene, TX",District #22,Central,TX,79602
"Abilene, TX",District #22,Central,TX,79603
"Abilene, TX",District #22,Central,TX,79604
"Abilene, TX",District #22,Central,TX,79605
"Abilene, TX",District #22,Central,TX,79606
"Abilene, TX",District #22,Central,TX,79608
"Abilene, TX",District #22,Central,TX,79697
"Abilene, TX",District #22,Central,TX,79698
"Abilene, TX",District #22,Central,TX,79699
"Abingdon, IL",District #29,Central,IL,61410
"Abingdon, MD",District #05,East,MD,21009
"Abingdon, VA",District #19,East,VA,24210
"Abingdon, VA",District #19,East,VA,24211
"Abingdon, VA",District #19,East,VA,24212
"Abington, CT",District #02,East,CT,06230
"Abington, MA",District #02,East,MA,02351
"Abington, PA",District #04,East,PA,19001
"Abiquiu, NM",District #39,West,NM,87510
"Abita Springs, LA",District #24,Central,LA,70420
"Abrams, WI",District #26,Central,WI,54101
"Absaraka, ND",District #32,Central,ND,58002
"Absarokee, MT",District #33,West,MT,59001
"Absecon, NJ",District #04,East,NJ,08201
"Absecon, NJ",District #04,East,NJ,08205
"Acampo, CA",District #36,West,CA,95220
"Accident, MD",District #13,East,MD,21520
"Accokeek, MD",District #07,East,MD,20607
"Accomac, VA",District #07,East,VA,23301
"Accord, MA",District #02,East,MA,02018
"Accord, NY",District #01,East,NY,12404
"Accoville, WV",District #15,East,WV,25606
"Ace, TX",District #23,Central,TX,77326
"Achille, OK",District #22,Central,OK,74720
"Achilles, VA",District #07,East,VA,23001
"Ackerly, TX",District #22,Central,TX,79713
"Ackerman, MS",District #24,Central,MS,39735
"Ackermanville, PA",District #03,East,PA,18010
"Ackley, IA",District #27,Central,IA,50601
"Ackworth, IA",District #30,Central,IA,50001
"Acme, LA",District #24,Central,LA,71316
"Acme, MI",District #18,East,MI,49610
"Acme, PA",District #13,East,PA,15610
"Acme, WA",District #34,West,WA,98220
"Acosta, PA",District #13,East,PA,15520
"Acra, NY",District #01,East,NY,12405
"Acton, CA",District #38,West,CA,93510
"Acton, MT",District #33,West,MT,59002
"Acushnet, MA",District #02,East,MA,02743
"Acworth, GA",District #09,East,GA,30101
"Acworth, GA",District #09,East,GA,30102
"Acworth, NH",District #02,East,NH,03601
"Ada, MI",District #18,East,MI,49301
"Ada, MI",District #18,East,MI,49355
"Ada, MI",District #18,East,MI,49356
"Ada, MI",District #18,East,MI,49357
"Ada, MN",District #32,Central,MN,56510
"Ada, OH",District #16,East,OH,45810
"Ada, OK",District #21,Central,OK,74820
"Ada, OK",District #21,Central,OK,74821
"Adah, PA",District #13,East,PA,15410
"Adair, IA",District #30,Central,IA,50002
"Adair, IL",District #29,Central,IL,61411
"Adair, OK",District #21,Central,OK,74330
"Adairsville, GA",District #09,East,GA,30103
"Adairville, KY",District #19,East,KY,42202
"Adak, AK",District #34,West,AK,99546
"Adams Basin, NY",District #06,East,NY,14410
"Adams Center, NY",District #01,East,NY,13606
"Adams Run, SC",District #11,East,SC,29426
"Adams, KY",District #15,East,KY,41201
"Adams, MA",District #01,East,MA,01220
"Adams, MN",District #28,Central,MN,55909
"Adams, ND",District #32,Central,ND,58210
"Adams, NE",District #30,Central,NE,68301
"Adams, NY",District #01,East,NY,13605
"Adams, OK",District #21,Central,OK,73901
"Adams, OR",District #33,West,OR,97810
"Adams, TN",District #19,East,TN,37010
"Adams, WI",District #27,Central,WI,53910
"Adamsburg, PA",District #13,East,PA,15611
"Adamstown, MD",District #05,East,MD,21710
"Adamstown, PA",District #03,East,PA,19501
"Adamsville, AL",District #19,East,AL,35005
"Adamsville, OH",District #15,East,OH,43802
"Adamsville, PA",District #13,East,PA,16110
"Adamsville, RI",District #02,East,RI,02801
"Adamsville, TN",District #25,Central,TN,38310
"Addieville, IL",District #29,Central,IL,62214
"Addington, OK",District #22,Central,OK,73520
"Addis, LA",District #24,Central,LA,70710
"Addison, AL",District #19,East,AL,35540
"Addison, IL",District #31,Central,IL,60101
"Addison, MI",District #18,East,MI,49220
"Addison, NY",District #06,East,NY,14801
"Addison, PA",District #13,East,PA,15411
"Addison, TX",District #22,Central,TX,75001
"Addy, WA",District #33,West,WA,99101
"Addyston, OH",District #16,East,OH,45001
"Adel, GA",District #12,East,GA,31620
"Adel, IA",District #30,Central,IA,50003
"Adel, OR",District #35,West,OR,97620
"Adelanto, CA",District #38,West,CA,92301
"Adell, WI",District #26,Central,WI,53001
"Adelphi, OH",District #15,East,OH,43101
"Adelphia, NJ",District #04,East,NJ,07710
"Adena, OH",District #13,East,OH,43901
"Adger, AL",District #19,East,AL,35006
"Adin, CA",District #35,West,CA,96006
"Adirondack, NY",District #01,East,NY,12808
"Adkins, TX",District #23,Central,TX,78101
"Admire, KS",District #30,Central,KS,66830
"Adna, WA",District #34,West,WA,98522
"Adolph, MN",District #28,Central,MN,55701
"Adolphus, KY",District #19,East,KY,42120
"Adona, AR",District #25,Central,AR,72001
"Adrian, GA",District #09,East,GA,31002
"Adrian, MI",District #18,East,MI,49221
"Adrian, MN",District #32,Central,MN,56110
"Adrian, MO",District #30,Central,MO,64720
"Adrian, OR",District #33,West,OR,97901
"Adrian, PA",District #13,East,PA,16210
"Adrian, TX",District #21,Central,TX,79001
"Adrian, WV",District #13,East,WV,26210
"Advance, IN",District #17,East,IN,46102
"Advance, MO",District #25,Central,MO,63730
"Advance, NC",District #08,East,NC,27006
"Advent, WV",District #15,East,WV,25231
"Afton, IA",District #30,Central,IA,50830
"Afton, MI",District #18,East,MI,49705
"Afton, MN",District #28,Central,MN,55001
"Afton, NY",District #01,East,NY,13730
"Afton, OK",District #21,Central,OK,74331
"Afton, TN",District #19,East,TN,37616
"Afton, TX",District #22,Central,TX,79220
"Afton, VA",District #07,East,VA,22920
"Afton, WI",District #27,Central,WI,53501
"Afton, WY",District #33,West,WY,83110
"Agar, SD",District #32,Central,SD,57520
"Agate, CO",District #20,Central,CO,80101
"Agate, ND",District #32,Central,ND,58310
"Agawam, MA",District #02,East,MA,01001
"Agency, IA",District #29,Central,IA,52530
"Agency, MO",District #30,Central,MO,64401
"Agenda, KS",District #21,Central,KS,66930
"Ages Brookside, KY",District #19,East,KY,40801
"Agness, OR",District #35,West,OR,97406
"Agoura Hills, CA",District #37,West,CA,91301
"Agoura Hills, CA",District #37,West,CA,91376
"Agra, KS",District #21,Central,KS,67621
"Agra, OK",District #21,Central,OK,74824
"Agua Dulce, TX",District #23,Central,TX,78330
"Aguanga, CA",District #38,West,CA,92536
"Aguila, AZ",District #39,West,AZ,85320
"Aguilar, CO",District #20,Central,CO,81020
"Ah Gwah Ching, MN",District #28,Central,MN,56430
"Ahmeek, MI",District #26,Central,MI,49901
"Ahoskie, NC",District #08,East,NC,27910
