Category,IsCompeteHide,Manufacturer,ManufacturerID,Product,ProductID,Segment
Mix,N,Abbas,1,Abbas MA-01,1,All Season
Mix,N,Abbas,1,Abbas MA-02,2,All Season
Mix,N,Abbas,1,Abbas MA-03,3,All Season
Mix,N,Abbas,1,Abbas MA-04,4,All Season
Mix,N,Abbas,1,Abbas MA-05,5,All Season
Mix,N,Abbas,1,Abbas MA-06,6,All Season
Mix,N,Abbas,1,Abbas MA-07,7,All Season
Mix,N,Abbas,1,Abbas MA-08,8,All Season
Mix,N,Abbas,1,Abbas MA-09,9,All Season
Mix,N,Abbas,1,Abbas MA-10,10,All Season
Mix,N,Abbas,1,Abbas MA-11,11,All Season
Mix,N,Abbas,1,Abbas MA-12,12,All Season
Mix,N,Abbas,1,Abbas MA-13,13,All Season
Mix,N,Abbas,1,Abbas MA-14,14,All Season
Mix,N,Abbas,1,Abbas MA-15,15,All Season
Mix,N,Abbas,1,Abbas MA-16,16,All Season
Mix,N,Abbas,1,Abbas MA-17,17,All Season
Mix,N,Abbas,1,Abbas MA-18,18,All Season
Mix,N,Abbas,1,Abbas MA-19,19,All Season
Mix,N,Abbas,1,Abbas MA-20,20,All Season
Mix,N,Abbas,1,Abbas MA-21,21,All Season
Mix,N,Abbas,1,Abbas MA-22,22,All Season
Mix,N,Abbas,1,Abbas MA-23,23,All Season
Mix,N,Abbas,1,Abbas MA-24,24,All Season
Mix,N,Abbas,1,Abbas MA-25,25,All Season
Mix,N,Abbas,1,Abbas MA-26,26,All Season
Mix,N,Abbas,1,Abbas MA-27,27,All Season
Mix,N,Abbas,1,Abbas MA-28,28,All Season
Mix,N,Abbas,1,Abbas MA-29,29,All Season
Mix,N,Abbas,1,Abbas MA-30,30,All Season
Mix,N,Abbas,1,Abbas MA-31,31,All Season
Mix,N,Abbas,1,Abbas MA-32,32,All Season
Mix,N,Abbas,1,Abbas MA-33,33,All Season
Mix,N,Abbas,1,Abbas MA-34,34,All Season
Mix,N,Abbas,1,Abbas MA-35,35,All Season
Mix,N,Abbas,1,Abbas MA-36,36,All Season
Mix,N,Abbas,1,Abbas MA-37,37,All Season
Mix,N,Abbas,1,Abbas MA-38,38,All Season
Mix,N,Abbas,1,Abbas MA-39,39,All Season
Mix,N,Abbas,1,Abbas MA-40,40,All Season
Mix,N,Abbas,1,Abbas MA-41,41,All Season
Mix,N,Abbas,1,Abbas MA-42,42,All Season
Mix,N,Abbas,1,Abbas MA-43,43,All Season
Mix,N,Abbas,1,Abbas MA-44,44,All Season
Mix,N,Abbas,1,Abbas MA-45,45,All Season
Mix,N,Aliqui,2,Aliqui MA-01,2187,All Season
Mix,N,Aliqui,2,Aliqui MA-02,2188,All Season
Mix,N,Aliqui,2,Aliqui MA-03,2189,All Season
Mix,N,Aliqui,2,Aliqui MA-04,2190,All Season
Mix,N,Aliqui,2,Aliqui MA-05,2191,All Season
Mix,N,Aliqui,2,Aliqui MA-06,2192,All Season
Mix,N,Aliqui,2,Aliqui MA-07,2193,All Season
Mix,N,Aliqui,2,Aliqui MA-08,2194,All Season
Mix,N,Aliqui,2,Aliqui MA-09,2195,All Season
Mix,N,Aliqui,2,Aliqui MA-10,2196,All Season
Mix,N,Aliqui,2,Aliqui MA-11,2197,All Season
Mix,N,Aliqui,2,Aliqui MA-12,2198,All Season
Mix,N,Aliqui,2,Aliqui MA-13,2199,All Season
Mix,N,Aliqui,2,Aliqui MA-14,2200,All Season
Mix,N,Aliqui,2,Aliqui MA-15,2201,All Season
Mix,N,Aliqui,2,Aliqui MA-16,2202,All Season
Mix,N,Aliqui,2,Aliqui MA-17,2203,All Season
Mix,N,Currus,4,Currus MA-01,1908,All Season
Mix,N,Currus,4,Currus MA-02,1909,All Season
Mix,N,Currus,4,Currus MA-03,1910,All Season
Mix,N,Currus,4,Currus MA-04,1911,All Season
Mix,N,Currus,4,Currus MA-05,1912,All Season
Mix,N,Currus,4,Currus MA-06,1913,All Season
Mix,N,Currus,4,Currus MA-07,1914,All Season
Mix,N,Currus,4,Currus MA-08,1915,All Season
Mix,N,Currus,4,Currus MA-09,1916,All Season
Mix,N,Currus,4,Currus MA-10,1917,All Season
Mix,N,Currus,4,Currus MA-11,1918,All Season
Mix,N,Currus,4,Currus MA-12,1919,All Season
Mix,N,Currus,4,Currus MA-13,1920,All Season
Mix,N,Currus,4,Currus MA-14,1921,All Season
Mix,N,Currus,4,Currus MA-15,1922,All Season
Mix,N,Currus,4,Currus MA-16,1923,All Season
Mix,N,Currus,4,Currus MA-17,1924,All Season
Mix,N,Currus,4,Currus MA-18,1925,All Season
Mix,N,Fama,5,Fama MA-01,211,All Season
Mix,N,Fama,5,Fama MA-02,212,All Season
Mix,N,Natura,8,Natura MA-01,694,All Season
Mix,N,Natura,8,Natura MA-02,695,All Season
Mix,N,Natura,8,Natura MA-03,696,All Season
Mix,N,Natura,8,Natura MA-04,697,All Season
Mix,N,Natura,8,Natura MA-05,698,All Season
Mix,N,Natura,8,Natura MA-06,699,All Season
Mix,N,Natura,8,Natura MA-07,700,All Season
Mix,N,Natura,8,Natura MA-08,701,All Season
Mix,N,Natura,8,Natura MA-09,702,All Season
Mix,N,Natura,8,Natura MA-10,703,All Season
Mix,N,Natura,8,Natura MA-11,704,All Season
Mix,N,Natura,8,Natura MA-12,705,All Season
Mix,N,Natura,8,Natura MA-13,706,All Season
Mix,N,Natura,8,Natura MA-14,707,All Season
Mix,N,Natura,8,Natura MA-15,708,All Season
Mix,N,Natura,8,Natura MA-16,709,All Season
Mix,N,Natura,8,Natura MA-17,710,All Season
Mix,N,Natura,8,Natura MA-18,711,All Season
Mix,N,Natura,8,Natura MA-19,712,All Season
Mix,N,Pirum,10,Pirum MA-01,1043,All Season
Mix,N,Pirum,10,Pirum MA-02,1044,All Season
Mix,N,Pirum,10,Pirum MA-03,1045,All Season
Mix,N,Pirum,10,Pirum MA-04,1046,All Season
Mix,N,Pirum,10,Pirum MA-05,1047,All Season
Mix,N,Pirum,10,Pirum MA-06,1048,All Season
Mix,N,Pirum,10,Pirum MA-07,1049,All Season
Mix,N,Pirum,10,Pirum MA-08,1050,All Season
Mix,N,Pirum,10,Pirum MA-09,1051,All Season
Mix,N,Pirum,10,Pirum MA-10,1052,All Season
Mix,N,Pirum,10,Pirum MA-11,1053,All Season
Mix,N,Pirum,10,Pirum MA-12,1054,All Season
Mix,N,Pomum,11,Pomum MA-01,1726,All Season
Mix,N,Pomum,11,Pomum MA-02,1727,All Season
Mix,N,Pomum,11,Pomum MA-03,1728,All Season
Mix,N,Pomum,11,Pomum MA-04,1729,All Season
Mix,N,Pomum,11,Pomum MA-05,1730,All Season
Mix,N,Pomum,11,Pomum MA-06,1731,All Season
Mix,N,Quibus,12,Quibus MA-01,1265,All Season
Mix,N,Quibus,12,Quibus MA-02,1266,All Season
Mix,N,Quibus,12,Quibus MA-03,1267,All Season
Mix,N,Quibus,12,Quibus MA-04,1268,All Season
Mix,N,Quibus,12,Quibus MA-05,1269,All Season
Mix,N,Quibus,12,Quibus MA-06,1270,All Season
Mix,N,Quibus,12,Quibus MA-07,1271,All Season
Mix,N,Quibus,12,Quibus MA-08,1272,All Season
Mix,N,Quibus,12,Quibus MA-09,1273,All Season
Mix,N,Quibus,12,Quibus MA-10,1274,All Season
Mix,N,Quibus,12,Quibus MA-11,1275,All Season
Mix,N,Quibus,12,Quibus MA-12,1276,All Season
Mix,N,Quibus,12,Quibus MA-13,1277,All Season
Mix,N,Quibus,12,Quibus MA-14,1278,All Season
Mix,N,Quibus,12,Quibus MA-15,1279,All Season
Mix,N,Quibus,12,Quibus MA-16,1280,All Season
Mix,N,Quibus,12,Quibus MA-17,1281,All Season
Mix,N,Quibus,12,Quibus MA-18,1282,All Season
Mix,N,Quibus,12,Quibus MA-19,1283,All Season
Mix,N,Quibus,12,Quibus MA-20,1284,All Season
Mix,N,Quibus,12,Quibus MA-21,1285,All Season
Mix,N,Quibus,12,Quibus MA-22,1286,All Season
Mix,N,Quibus,12,Quibus MA-23,1287,All Season
Mix,N,Quibus,12,Quibus MA-24,1288,All Season
Mix,N,Quibus,12,Quibus MA-25,1289,All Season
Mix,N,Quibus,12,Quibus MA-26,1290,All Season
Mix,N,Quibus,12,Quibus MA-27,1291,All Season
Mix,N,Quibus,12,Quibus MA-28,1292,All Season
Mix,N,Quibus,12,Quibus MA-29,1293,All Season
Mix,N,Quibus,12,Quibus MA-30,1294,All Season
Mix,N,Quibus,12,Quibus MA-31,1295,All Season
Mix,N,Quibus,12,Quibus MA-32,1296,All Season
Mix,N,Quibus,12,Quibus MA-33,1297,All Season
Mix,N,Quibus,12,Quibus MA-34,1298,All Season
Mix,N,Quibus,12,Quibus MA-35,1299,All Season
Mix,N,Quibus,12,Quibus MA-36,1300,All Season
Mix,N,Quibus,12,Quibus MA-37,1301,All Season
Mix,N,Quibus,12,Quibus MA-38,1302,All Season
Mix,N,Quibus,12,Quibus MA-39,1303,All Season
Mix,N,Quibus,12,Quibus MA-40,1304,All Season
Mix,N,Quibus,12,Quibus MA-41,1305,All Season
Mix,N,Quibus,12,Quibus MA-42,1306,All Season
Mix,N,Quibus,12,Quibus MA-43,1307,All Season
Mix,N,Quibus,12,Quibus MA-44,1308,All Season
Mix,N,Quibus,12,Quibus MP-01,1233,Productivity
Mix,N,Quibus,12,Quibus MP-02,1234,Productivity
Mix,N,Quibus,12,Quibus MP-03,1235,Productivity
Mix,N,Quibus,12,Quibus MP-04,1236,Productivity
Mix,N,Quibus,12,Quibus MP-05,1237,Productivity
Mix,N,Quibus,12,Quibus MP-06,1238,Productivity
Mix,N,Quibus,12,Quibus MP-07,1239,Productivity
Mix,N,Quibus,12,Quibus MP-08,1240,Productivity
Mix,N,Quibus,12,Quibus MP-09,1241,Productivity
Mix,N,Quibus,12,Quibus MP-10,1242,Productivity
Mix,N,Quibus,12,Quibus MP-11,1243,Productivity
Mix,N,Quibus,12,Quibus MP-12,1244,Productivity
Mix,N,Quibus,12,Quibus MP-13,1245,Productivity
Mix,N,Quibus,12,Quibus MP-14,1246,Productivity
Mix,N,Quibus,12,Quibus MP-15,1247,Productivity
Mix,N,Quibus,12,Quibus MP-16,1248,Productivity
Mix,N,Quibus,12,Quibus MP-17,1249,Productivity
Mix,N,Quibus,12,Quibus MP-18,1250,Productivity
Mix,N,Quibus,12,Quibus MP-19,1251,Productivity
Mix,N,Quibus,12,Quibus MP-20,1252,Productivity
Mix,N,Quibus,12,Quibus MP-21,1253,Productivity
Mix,N,Quibus,12,Quibus MP-22,1254,Productivity
Mix,N,Quibus,12,Quibus MP-23,1255,Productivity
Mix,N,Quibus,12,Quibus MP-24,1256,Productivity
Mix,N,Quibus,12,Quibus MP-25,1257,Productivity
Mix,N,Quibus,12,Quibus MP-26,1258,Productivity
Mix,N,Quibus,12,Quibus MP-27,1259,Productivity
Mix,N,Quibus,12,Quibus MP-28,1260,Productivity
Mix,N,Quibus,12,Quibus MP-29,1261,Productivity
Mix,N,Quibus,12,Quibus MP-30,1262,Productivity
Mix,N,Quibus,12,Quibus MP-31,1263,Productivity
Mix,N,Quibus,12,Quibus MP-32,1264,Productivity
Mix,N,Victoria,14,Victoria MA-01,2102,All Season
Mix,N,Victoria,14,Victoria MA-02,2103,All Season
Mix,N,Victoria,14,Victoria MA-03,2104,All Season
Mix,N,Victoria,14,Victoria MA-04,2105,All Season
Mix,N,Victoria,14,Victoria MA-05,2106,All Season
Mix,N,Victoria,14,Victoria MA-06,2107,All Season
Rural,N,Abbas,1,Abbas RP-01,46,Productivity
Rural,N,Abbas,1,Abbas RP-02,47,Productivity
Rural,N,Abbas,1,Abbas RP-03,48,Productivity
Rural,N,Abbas,1,Abbas RP-04,49,Productivity
Rural,N,Abbas,1,Abbas RP-05,50,Productivity
Rural,N,Abbas,1,Abbas RP-06,51,Productivity
Rural,N,Abbas,1,Abbas RP-07,52,Productivity
Rural,N,Abbas,1,Abbas RP-08,53,Productivity
Rural,N,Abbas,1,Abbas RP-09,54,Productivity
Rural,N,Abbas,1,Abbas RP-10,55,Productivity
Rural,N,Abbas,1,Abbas RP-11,56,Productivity
Rural,N,Abbas,1,Abbas RP-12,57,Productivity
Rural,N,Abbas,1,Abbas RP-13,58,Productivity
Rural,N,Abbas,1,Abbas RP-14,59,Productivity
Rural,N,Abbas,1,Abbas RP-15,60,Productivity
Rural,N,Abbas,1,Abbas RP-16,61,Productivity
Rural,N,Abbas,1,Abbas RP-17,62,Productivity
