Date,ProductID,Revenue,Units,Zip
1999-07-15 00:00:00,25,$9513.00,1,30549
1999-07-15 00:00:00,25,$9513.00,1,70119
1999-07-15 00:00:00,36,$4977.00,1,47710
1999-07-15 00:00:00,36,$4977.00,1,52766
1999-07-15 00:00:00,36,$4977.00,1,83716
1999-07-15 00:00:00,36,$4977.00,1,94611
1999-07-15 00:00:00,36,$4977.00,1,98011
1999-07-15 00:00:00,94,$10073.70,1,81632
1999-07-15 00:00:00,120,$9954.00,1,28304
1999-07-15 00:00:00,120,$9954.00,1,28732
1999-07-15 00:00:00,120,$9954.00,1,80751
1999-07-15 00:00:00,120,$9954.00,1,85283
1999-07-15 00:00:00,139,$6552.00,1,30350
1999-07-15 00:00:00,195,$9002.70,1,10707
1999-07-15 00:00:00,195,$9002.70,1,11743
1999-07-15 00:00:00,195,$9002.70,1,33549
1999-07-15 00:00:00,226,$9131.85,1,73135
1999-07-15 00:00:00,234,$4847.85,1,85748
1999-07-15 00:00:00,234,$4847.85,1,94901
1999-07-15 00:00:00,248,$6296.85,1,02762
1999-07-15 00:00:00,248,$6296.85,1,90031
1999-07-15 00:00:00,318,$10391.85,1,37209
1999-07-15 00:00:00,318,$10391.85,1,78504
1999-07-15 00:00:00,318,$10391.85,1,91351
1999-07-15 00:00:00,326,$8501.85,1,15456
1999-07-15 00:00:00,326,$8501.85,1,29072
1999-07-15 00:00:00,343,$10391.85,1,10011
1999-07-15 00:00:00,370,$6485.85,1,46835
1999-07-15 00:00:00,370,$6485.85,1,91607
1999-07-15 00:00:00,370,$6485.85,1,94301
1999-07-15 00:00:00,381,$15179.85,1,48116
1999-07-15 00:00:00,396,$10284.75,1,02322
1999-07-15 00:00:00,396,$10284.75,1,08075
1999-07-15 00:00:00,396,$10284.75,1,10924
1999-07-15 00:00:00,396,$10284.75,1,10980
1999-07-15 00:00:00,396,$10284.75,1,12429
1999-07-15 00:00:00,396,$10284.75,1,12936
1999-07-15 00:00:00,396,$10284.75,1,13861
1999-07-15 00:00:00,396,$10284.75,1,15106
1999-07-15 00:00:00,396,$10284.75,1,15210
1999-07-15 00:00:00,396,$10284.75,1,15601
1999-07-15 00:00:00,396,$10284.75,1,17815
1999-07-15 00:00:00,396,$10284.75,1,17961
1999-07-15 00:00:00,396,$20569.50,2,19608
1999-07-15 00:00:00,396,$10284.75,1,23455
1999-07-15 00:00:00,396,$10284.75,1,25801
1999-07-15 00:00:00,396,$10284.75,1,27215
1999-07-15 00:00:00,396,$10284.75,1,28570
1999-07-15 00:00:00,396,$10284.75,1,29577
1999-07-15 00:00:00,396,$10284.75,1,30173
1999-07-15 00:00:00,396,$10284.75,1,30215
1999-07-15 00:00:00,396,$10054.80,1,32746
1999-07-15 00:00:00,396,$10284.75,1,33318
1999-07-15 00:00:00,396,$10284.75,1,33417
1999-07-15 00:00:00,396,$20569.50,2,33908
1999-07-15 00:00:00,396,$10284.75,1,36767
1999-07-15 00:00:00,396,$10284.75,1,40509
1999-07-15 00:00:00,396,$10284.75,1,42001
1999-07-15 00:00:00,396,$10284.75,1,43450
1999-07-15 00:00:00,396,$10284.75,1,43543
1999-07-15 00:00:00,396,$10284.75,1,44514
1999-07-15 00:00:00,396,$10284.75,1,48328
1999-07-15 00:00:00,396,$10284.75,1,48532
1999-07-15 00:00:00,396,$10284.75,1,48910
1999-07-15 00:00:00,396,$10284.75,1,51357
1999-07-15 00:00:00,396,$10284.75,1,53185
1999-07-15 00:00:00,396,$10284.75,1,55033
1999-07-15 00:00:00,396,$10284.75,1,58075
1999-07-15 00:00:00,396,$10284.75,1,59011
1999-07-15 00:00:00,396,$10284.75,1,59013
1999-07-15 00:00:00,396,$20569.50,2,60091
1999-07-15 00:00:00,396,$10284.75,1,60630
1999-07-15 00:00:00,396,$10284.75,1,67951
1999-07-15 00:00:00,396,$10284.75,1,70726
1999-07-15 00:00:00,396,$10284.75,1,70750
1999-07-15 00:00:00,396,$10284.75,1,71913
1999-07-15 00:00:00,396,$20569.50,2,76021
1999-07-15 00:00:00,396,$10284.75,1,76262
1999-07-15 00:00:00,396,$10284.75,1,77056
1999-07-15 00:00:00,396,$10284.75,1,78373
1999-07-15 00:00:00,396,$10284.75,1,79415
1999-07-15 00:00:00,396,$10284.75,1,81656
1999-07-15 00:00:00,396,$10284.75,1,83702
1999-07-15 00:00:00,396,$10284.75,1,84058
1999-07-15 00:00:00,396,$10284.75,1,84092
1999-07-15 00:00:00,396,$10284.75,1,85543
1999-07-15 00:00:00,396,$10284.75,1,92264
1999-07-15 00:00:00,396,$10284.75,1,92630
1999-07-15 00:00:00,396,$10284.75,1,94552
1999-07-15 00:00:00,396,$10284.75,1,94568
1999-07-15 00:00:00,396,$10284.75,1,94583
1999-07-15 00:00:00,396,$10284.75,1,94591
1999-07-15 00:00:00,396,$10284.75,1,95014
1999-07-15 00:00:00,396,$10284.75,1,95382
1999-07-15 00:00:00,396,$10284.75,1,95988
